macro address,Write,Function description,Notes
0,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
1,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
2,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
3,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
4,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
5,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
6,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
7,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
8,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
9,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
22,S,User variables independent for slib and user UE,"This range is not suitable for storing axis coordinates, from variables #790-#844. If you store axis coordinates in this range of variable numbers, the values will be lost. Only this range is suitable for the seamless movement of the axes, with G0, G1, G2, G3 commands."
